dayoftheyear,open,high,low,close,WLLDE
1787,426.46,427.86,422.98,424.32,425.85
1788,423.82,428.74,422.39,427.81,428.31
1789,431.87,434.40,431.68,434.07,429.69
1790,428.19,434.24,424.26,426.28,425.81
1791,426.36,428.45,416.43,417.87,420.39
1792,417.36,418.95,413.01,416.50,419.10
1793,420.97,423.39,420.45,423.22,421.19
1794,421.16,425.08,419.27,423.70,420.67
1795,420.49,423.67,414.04,414.64,416.20
1796,414.90,416.16,409.67,411.96,411.56
1797,409.74,413.17,404.02,407.54,407.13
1798,410.47,411.04,399.74,400.31,404.53
1799,389.94,406.77,389.58,406.33,407.39
1800,407.58,415.38,405.92,415.30,412.05
1801,409.87,415.73,408.61,414.24,412.71
1802,412.73,414.75,405.20,407.93,411.71
1803,410.20,417.17,409.44,415.43,412.86
1804,417.88,418.49,411.55,413.36,412.24
1805,409.61,411.14,405.94,410.01,407.54
1806,409.42,410.13,397.85,397.92,400.99
1807,398.10,405.30,393.83,394.90,399.09
1808,403.34,407.48,401.13,405.49,401.97
1809,400.85,404.56,398.88,403.66,402.23
1810,406.16,406.78,398.01,398.53,399.56
1811,399.30,402.78,394.47,395.61,399.41
1812,398.24,404.95,396.96,404.31,404.72
1813,407.84,413.34,403.01,413.28,412.07
1814,411.35,418.45,410.97,418.45,417.92
1815,416.83,423.36,416.09,423.03,421.69
1816,422.86,424.88,419.38,422.91,423.93
1817,424.31,428.80,424.31,427.86,425.20
1818,425.31,426.81,422.26,422.35,425.55
1819,424.38,428.72,423.26,428.71,427.86
1820,429.35,431.08,426.75,430.81,431.04
1821,430.21,433.87,428.31,433.87,434.30
1822,437.78,439.73,435.08,439.24,436.60
1823,438.09,438.91,434.40,436.53,435.25
1824,435.76,436.58,429.35,429.81,432.25
1825,431.40,431.54,427.43,431.03,431.76
1826,431.23,434.82,430.40,434.72,431.96
1827,433.21,435.70,428.08,429.23,429.50
1828,425.29,427.23,422.03,424.94,426.88
1829,424.05,428.90,422.09,427.08,426.05
1830,426.32,428.85,424.38,425.94,424.10
1831,422.64,423.49,418.15,418.65,420.47
1832,421.66,424.20,415.54,417.10,418.95
1833,416.86,422.64,416.68,421.88,419.18
1834,422.11,423.23,416.52,416.63,418.22
1835,415.69,418.49,414.55,416.80,418.80
1836,416.69,424.25,416.52,423.53,421.30
1837,425.32,425.94,422.04,423.21,420.83
1838,426.86,428.26,415.97,416.88,415.54
1839,415.79,416.90,404.88,405.45,409.07
1840,403.19,407.97,398.59,407.80,404.38
1841,405.25,405.45,395.96,395.99,399.88
1842,397.07,402.48,394.95,397.10,399.46
1843,401.88,408.87,397.41,407.13,400.22
1844,403.11,405.28,391.33,392.08,396.63
1845,392.15,395.81,385.44,394.44,395.31
1846,394.95,398.68,393.38,396.25,398.47
1847,396.92,408.89,393.71,408.32,400.73
1848,404.03,404.46,389.65,393.81,396.23
1849,391.23,394.75,386.12,391.46,389.19
1850,385.52,386.76,377.33,378.92,382.54
1851,384.94,386.45,375.74,379.80,378.37
1852,378.83,384.51,373.01,373.76,375.67
1853,370.55,376.67,366.53,373.38,376.16
1854,377.53,383.69,376.49,382.30,379.69
1855,380.65,384.44,378.38,380.75,382.39
