Datetime,Open,High,Low,Close
,QQQ,QQQ,QQQ,QQQ
2023-02-07 00:00:00,298.47,305.915,297.348,304.784
2023-02-08 00:00:00,303.466,304.41,298.676,299.365
2023-02-09 00:00:00,303.761,303.909,295.263,296.719
2023-02-10 00:00:00,294.555,296.611,292.362,294.771
2023-02-13 00:00:00,296.178,300.083,294.998,299.493
2023-02-14 00:00:00,297.909,302.66,295.962,301.705
2023-02-15 00:00:00,299.886,304.184,299.197,304.017
2023-02-16 00:00:00,299.374,303.358,298.165,298.312
2023-02-17 00:00:00,296.119,296.965,293.198,296.207
2023-02-21 00:00:00,292.372,293.817,289.057,289.195
2023-02-22 00:00:00,289.775,291.486,287.749,289.411
2023-02-23 00:00:00,293.07,293.227,287.739,291.939
2023-02-24 00:00:00,286.962,288.152,285.28,287.051
2023-02-27 00:00:00,290.218,291.614,288.516,289.106
2023-02-28 00:00:00,288.477,291.25,288.142,288.732
2023-03-01 00:00:00,288.437,289.096,285.428,286.411
2023-03-02 00:00:00,283.913,289.588,283.628,288.782
2023-03-03 00:00:00,290.532,294.988,290.021,294.752
2023-03-06 00:00:00,295.991,299.001,294.889,295.086
2023-03-07 00:00:00,295.135,296.06,290.857,291.467
2023-03-08 00:00:00,291.89,293.522,290.031,292.922
2023-03-09 00:00:00,293.424,296.03,287.031,287.847
2023-03-10 00:00:00,288.014,289.509,282.654,283.805
2023-03-13 00:00:00,282.015,289.627,280.5,285.91
2023-03-14 00:00:00,289.47,293.031,288.624,292.48
2023-03-15 00:00:00,289.863,294.348,288.418,294.014
2023-03-16 00:00:00,293.099,302.128,292.303,301.764
2023-03-17 00:00:00,301.676,304.066,298.381,300.338
2023-03-20 00:00:00,299.72,301.729,297.503,301.404
2023-03-21 00:00:00,303.345,306.162,301.828,305.709
2023-03-22 00:00:00,305.64,310.546,301.384,301.552
2023-03-23 00:00:00,305.295,309.462,302.429,305.128
2023-03-24 00:00:00,304.704,306.349,302.37,306.251
2023-03-27 00:00:00,306.95,308.034,303.296,304.153
2023-03-28 00:00:00,303.571,303.601,300.222,302.537
2023-03-29 00:00:00,306.241,308.674,305.423,308.054
2023-03-30 00:00:00,310.536,311.6,308.142,310.969
2023-03-31 00:00:00,311.196,316.377,310.891,316.141
2023-04-03 00:00:00,314.013,315.639,312.683,315.373
2023-04-04 00:00:00,315.816,316.831,313.087,314.309
2023-04-05 00:00:00,313.353,314.299,309.383,311.206
2023-04-06 00:00:00,309.551,313.796,308.152,313.304
2023-04-10 00:00:00,310.368,313.176,308.576,313.127
2023-04-11 00:00:00,313.087,313.146,310.605,311.117
2023-04-12 00:00:00,313.077,313.668,307.906,308.369
2023-04-13 00:00:00,310.132,314.88,308.95,314.407
2023-04-14 00:00:00,312.851,315.579,310.9,313.816
2023-04-17 00:00:00,313.402,314.437,311.324,314.082
2023-04-18 00:00:00,316.2,316.624,312.9,314.102
2023-04-19 00:00:00,311.688,315.018,311.56,313.954
2023-04-20 00:00:00,310.979,314.506,310.27,311.56
2023-04-21 00:00:00,311.196,312.664,309.413,311.885
2023-04-24 00:00:00,311.659,312.999,309.058,311.235
2023-04-25 00:00:00,309.6,310.27,305.266,305.364
2023-04-26 00:00:00,308.763,310.24,306.694,307.216
2023-04-27 00:00:00,310.989,316.072,310.349,315.57
2023-04-28 00:00:00,315.333,317.835,314.2,317.747
2023-05-01 00:00:00,317.284,318.801,316.299,317.382
2023-05-02 00:00:00,317.313,317.638,312.87,314.614
2023-05-03 00:00:00,314.979,317.658,312.447,312.555
2023-05-04 00:00:00,312.329,313.481,310.418,311.452
2023-05-05 00:00:00,313.718,318.929,311.491,318.072
2023-05-08 00:00:00,317.609,319.205,316.525,318.86
2023-05-09 00:00:00,317.195,318.062,316.525,316.84
2023-05-10 00:00:00,319.283,321.145,316.801,320.288
2023-05-11 00:00:00,320.84,321.874,319.283,321.332
2023-05-12 00:00:00,321.864,322.288,318.121,320.18
2023-05-15 00:00:00,320.653,322.15,319.126,321.914
2023-05-16 00:00:00,321.194,323.992,321.155,322.278
2023-05-17 00:00:00,323.342,326.76,322.16,326.179
2023-05-18 00:00:00,326.573,332.454,326.553,332.237
2023-05-19 00:00:00,332.454,333.163,330.425,331.488
2023-05-22 00:00:00,331.232,333.616,331.222,332.602
2023-05-23 00:00:00,330.878,332.03,328.031,328.385
2023-05-24 00:00:00,326.425,327.942,324.642,326.701
2023-05-25 00:00:00,334.079,335.921,331.646,334.651
2023-05-26 00:00:00,335.675,344.038,335.577,343.201
2023-05-30 00:00:00,347.447,348.649,343.329,344.757
2023-05-31 00:00:00,343.172,345.368,341.339,342.797
2023-06-01 00:00:00,342.541,348.087,341.487,346.757
2023-06-02 00:00:00,348.52,350.52,346.757,349.358
2023-06-05 00:00:00,349.141,352.165,348.57,349.604
2023-06-06 00:00:00,348.993,350.51,347.663,349.545
2023-06-07 00:00:00,349.831,351.791,342.984,343.615
2023-06-08 00:00:00,343.91,348.343,343.684,347.88
2023-06-09 00:00:00,349.338,352.323,347.762,349.21
2023-06-12 00:00:00,350.875,355.209,349.9,355.111
2023-06-13 00:00:00,357.869,358.677,354.657,357.839
2023-06-14 00:00:00,357.849,360.726,355.042,360.44
2023-06-15 00:00:00,359.169,366.222,358.549,364.735
2023-06-16 00:00:00,367.158,367.286,361.996,362.44
2023-06-20 00:00:00,360.984,363.322,358.952,361.921
2023-06-21 00:00:00,360.777,361.211,356.061,356.989
2023-06-22 00:00:00,355.736,361.358,355.331,361.201
2023-06-23 00:00:00,357.294,359.928,355.923,357.62
2023-06-26 00:00:00,357.087,359.889,352.737,352.826
2023-06-27 00:00:00,354.375,359.622,353.645,358.892
2023-06-28 00:00:00,357.068,361.546,356.989,359.593
2023-06-29 00:00:00,359.297,359.938,357.225,358.873
2023-06-30 00:00:00,362.562,365.462,362.246,364.407
2023-07-03 00:00:00,365.048,365.896,363.963,365.265
2023-07-05 00:00:00,363.696,366.961,363.657,365.255
2023-07-06 00:00:00,361.536,362.917,359.573,362.473
2023-07-07 00:00:00,362.246,365.452,361.043,361.27
2023-07-10 00:00:00,360.993,362.069,358.478,361.388
2023-07-11 00:00:00,361.812,363.627,359.672,363.174
2023-07-12 00:00:00,367.287,369.112,365.275,367.76
2023-07-13 00:00:00,370.947,374.833,370.365,374.004
2023-07-14 00:00:00,374.439,377.664,373.048,373.926
2023-07-17 00:00:00,374.646,378.295,374.162,377.418
2023-07-18 00:00:00,376.776,381.876,374.843,380.505
2023-07-19 00:00:00,381.57,382.715,379.085,380.416
2023-07-20 00:00:00,377.418,378.887,370.621,371.647
2023-07-21 00:00:00,374.034,374.764,370.098,370.532
2023-07-24 00:00:00,371.509,372.456,369.26,371.124
2023-07-25 00:00:00,371.834,375.307,371.815,373.64
2023-07-26 00:00:00,372.594,374.093,370.088,372.397
2023-07-27 00:00:00,377.871,379.489,370.217,371.509
2023-07-28 00:00:00,375.573,379.302,375.06,378.276
2023-07-31 00:00:00,378.582,379.657,377.151,378.473
2023-08-01 00:00:00,377.122,378.355,375.524,377.595
2023-08-02 00:00:00,374.113,374.113,368.066,369.309
